LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Smoking_Val,Soc_Spend_Val,Work_Hour_Val
CAN-2007,10.7,8.4,13.5,48.2,82.8,387.1,49.1,18.2,5.3,1744.0
CAN-2008,10.9,8.4,13.0,48.7,82.4,399.2,60.0,17.5,4.6,1741.0
CAN-2009,11.2,8.4,12.5,49.3,81.6,403.2,50.0,16.2,5.0,1712.0
CAN-2010,11.3,8.4,11.7,50.3,81.3,427.7,50.6,16.3,5.3,1715.0
CAN-2011,10.9,8.2,11.4,51.0,81.5,430.5,60.4,15.7,5.2,1713.0
CAN-2012,11.0,8.3,11.0,52.3,81.5,437.7,50.9,16.1,5.4,1722.0
CAN-2013,11.2,8.2,10.5,53.0,81.9,442.7,62.0,14.9,5.5,1716.0
CAN-2014,11.7,8.0,10.0,53.6,81.6,455.5,52.5,14.0,5.7,1710.0
CAN-2015,12.0,8.0,9.6,55.2,81.8,464.2,64.2,13.1,6.2,1712.0
CAN-2016,10.7,8.1,9.4,56.3,81.8,521.0,53.1,12.5,6.2,1706.0
CAN-2017,11.1,8.2,8.9,56.7,82.4,530.8,60.4,12.0,7.1,1695.0
CAN-2018,10.1,8.2,8.4,57.9,82.7,544.4,53.8,11.3,7.1,1708.0
CAN-2019,10.5,8.0,8.1,59.4,83.1,534.0,59.8,10.3,,1690.0
CHE-1990,22.4,12.9,,,,,,,3.5,
CHE-1991,23.2,12.9,19.3,20.3,90.5,,,,3.7,1718.1
CHE-1992,21.2,12.3,19.2,21.0,89.8,,30.3,28.1,4.1,1725.4
CHE-1993,20.8,12.1,,,,,,,4.3,1720.4
CHE-1994,21.9,11.8,17.8,21.4,88.3,,,,4.6,1739.7
CHE-1995,20.7,11.4,17.8,21.1,90.2,404.5,,,7.7,1720.3
CHE-1996,20.7,11.3,,,,417.4,,,8.3,1696.9
CHE-1997,19.2,11.2,16.4,22.2,89.1,426.8,34.9,28.9,8.5,1687.5
CHE-1998,19.6,11.1,16.3,22.9,90.3,440.7,,,8.8,1695.5
CHE-1999,18.3,11.1,16.1,23.6,90.7,450.8,,,9.0,1717.4
CHE-2000,19.2,11.2,16.1,24.2,90.4,479.6,,,9.2,1712.7
CHE-2001,18.6,11.1,15.1,25.4,91.3,496.2,,,9.5,1672.8
CHE-2002,19.7,10.8,15.1,25.4,90.6,520.3,37.1,26.5,9.8,1651.3
CHE-2003,17.2,10.8,15.4,26.9,89.7,514.9,,,10.1,1664.5
CHE-2004,17.2,10.7,15.0,28.1,89.7,540.3,,,10.4,1695.0
CHE-2005,17.2,10.1,14.8,28.8,90.0,519.2,,,10.4,1690.0
CHE-2006,17.1,10.2,14.6,29.9,90.2,543.6,,,10.1,1679.2
CHE-2007,17.5,10.4,14.0,31.3,90.0,589.4,37.3,20.4,9.9,1668.9
CHE-2008,16.7,10.2,13.2,33.7,90.5,609.0,,,9.9,1659.5
CHE-2009,13.8,10.1,13.1,35.0,89.6,619.0,,,10.5,1650.8
CHE-2010,12.3,10.0,15.0,33.9,87.3,618.9,,,10.4,1611.2
CHE-2011,12.5,10.0,15.2,34.0,87.9,629.9,,,10.5,1608.3
CHE-2012,12.4,9.9,14.3,35.3,88.6,640.0,41.0,20.4,10.6,1592.6
CHE-2013,12.6,9.8,13.6,37.4,88.1,664.5,,,10.9,1572.7
CHE-2014,11.9,9.5,12.8,38.4,88.0,708.7,,,11.0,1564.5
CHE-2015,12.3,9.5,12.7,39.8,88.2,740.3,,,11.4,1576.6
CHE-2016,11.5,9.3,12.6,41.2,88.5,796.5,,,11.7,1577.0
CHE-2017,11.6,9.2,12.2,42.6,88.3,793.9,41.8,19.1,11.8,1559.1
CHE-2018,11.1,9.1,11.6,43.7,88.7,804.8,,,11.7,1551.4
CHE-2019,11.1,9.3,11.0,44.4,89.4,781.5,,,,1549.4
CHL-1990,7.2,8.6,,,,,,,0.5,2422.0
CHL-1991,7.3,8.0,,,,,,,0.7,2419.0
CHL-1992,6.0,7.8,,,,,,,0.8,2415.0
CHL-1993,6.9,7.7,,,,,,,0.9,2389.0
CHL-1994,7.1,7.7,,,,,,,1.1,2364.0
CHL-1995,8.1,8.3,,,,,,,1.2,2338.0
CHL-1996,7.6,7.4,,,,,,,1.3,2313.0
CHL-1997,7.4,6.6,,,,,,,1.3,2256.0
CHL-1998,8.3,7.3,,,,,,,1.3,2299.0
CHL-1999,8.3,7.6,,,,,,,1.5,2277.0
CHL-2000,11.3,6.2,,,,108.4,33.6,,2.7,2263.0
CHL-2001,11.9,6.2,,,,114.6,,,2.8,2242.0
CHL-2002,11.6,5.5,,,,119.4,,,2.7,2250.0
CHL-2003,11.9,6.5,,,,129.6,62.3,33.0,2.7,2235.0
CHL-2004,11.9,6.8,,,,136.8,,,2.7,2232.0
CHL-2005,11.4,7.2,,,,143.9,,,2.7,2157.0
CHL-2006,11.9,6.9,,,,163.0,47.4,,2.5,2165.0
CHL-2007,11.9,7.4,,,,175.1,,,2.6,2128.0
CHL-2008,13.2,7.4,,,,179.6,,,2.9,2095.0
CHL-2009,13.4,7.2,43.5,17.1,82.6,193.7,64.5,29.8,3.2,2074.0
CHL-2010,12.3,7.6,,,,185.9,,,3.0,2069.8
CHL-2011,12.5,7.1,42.3,17.8,84.3,197.6,,,3.1,2050.2
CHL-2012,11.2,8.3,,,,212.3,,,3.2,2027.4
CHL-2013,10.5,7.2,38.6,21.1,84.0,239.2,,,3.3,2021.3
CHL-2014,10.6,7.9,,,,254.9,,,3.4,1994.4
CHL-2015,10.9,7.9,35.1,22.5,84.4,267.0,48.3,,3.5,1993.7
CHL-2016,10.6,6.4,,,,283.6,74.2,24.5,3.5,1977.5
CHL-2017,10.5,5.7,32.6,25.2,84.5,296.1,,,3.7,1963.1
CHL-2018,10.0,6.3,,,,316.2,,,3.7,1955.5
COL-1990,3.6,7.0,,,,,,,,
COL-1991,3.7,7.3,,,,,,,,
COL-1992,4.1,6.2,,,,,,,,
COL-1993,4.2,6.7,,,,,,,,
COL-1994,4.5,6.8,,,,,,,,
COL-1995,4.2,7.0,,,,,,,,
COL-1996,4.3,6.7,,,,,,,,
COL-1997,4.1,6.5,,,,,,,,
