LocationTime,Suicide_val_TOT,Alcohol_val,Edu_val_BUPPSRY,Edu_val_TRY,Edu_val_UPPSRY,employment_val_TOT_PC_WKGPOP,employment_val_TOT_THND_PER,hSpend_val_COMPULSORY,hSpend_val_OOPEXP,hSpend_val_TOT,hSpend_val_VOLUNTARY,obesity_val,Poverty_Value_0_17,Poverty_Value_18_65,Poverty_Value_66MORE,Poverty_Value_TOT,smoking_val,Value_PRIV_PC_GDP,Value_PUB_PC_GDP,Value_PUB_USD_CAP,Value_PUBNET_PC_GDP,Value_TOTNET_PC_GDP,Social_spt_val
POL-2007,13.7,10.3,13.698365,18.688519,67.613113,57.025,15240.38,270.209,101.37666666666668,528.4005000000001,115.39166666666668,48.406382978723364,0.125,0.091,0.077,0.096,22.146534653465324,0.213,19.525,4053.949,15.799,16.012,87.07542608874712
POL-2008,14.7,10.8,12.851042,19.565832,67.583122,59.225,15799.42,317.514,108.23566666666666,614.562,125.527,48.406382978723364,0.138,0.1,0.101,0.107,22.146534653465324,0.249,20.211,4374.877,17.667929487179503,20.15874919614149,87.07542608874712
POL-2009,16.7,10.2,12.027865,21.150869,66.821266,57.175,15868.0,338.9216666666667,115.224,659.516,134.08866666666663,52.2,0.137,0.101,0.106,0.108,23.8,0.263,21.304,4696.251,18.116,18.379,87.07542608874712
POL-2010,16.3,10.0,11.485272,22.468407,66.046318,56.975,15472.83,365.5233333333333,120.92833333333334,714.9105000000001,144.41733333333335,48.406382978723364,0.133,0.102,0.097,0.107,22.146534653465324,0.296,20.746,4734.039,17.667929487179503,20.15874919614149,85.876476764679
POL-2011,15.6,10.3,11.087381,23.283596,65.629021,57.45,15562.0,378.6623333333334,127.987,751.4275,155.623,48.406382978723364,0.125,0.102,0.103,0.106,22.146534653465324,0.322,19.556,4685.172,16.26,16.583,85.876476764679
POL-2012,16.2,10.2,10.402209,24.512804,65.084984,58.0,15590.58,393.35533333333336,136.26866666666666,792.4114999999999,168.25233333333333,48.406382978723364,0.129,0.101,0.082,0.104,22.146534653465324,0.353,19.78,4814.173,17.667929487179503,20.15874919614149,85.876476764679
POL-2013,15.8,10.8,9.8658543,25.755669,64.378479,58.425,15568.03,418.5750000000001,140.07533333333333,838.5989999999999,173.82433333333336,48.406382978723364,0.135,0.104,0.077,0.106,22.146534653465324,0.387,20.476,5057.009,17.012,17.4,85.876476764679
POL-2014,15.1,10.5,9.4829636,26.995474,63.521564,60.2,15861.53,422.38433333333336,138.2396666666667,846.668,175.394,53.3,0.129,0.104,0.077,0.104,22.7,0.413,20.176,5150.798,17.667929487179503,20.15874919614149,85.876476764679
POL-2015,13.7,10.5,9.2220259,27.747267,63.030708,61.6,16083.22,447.589,147.84433333333334,912.639,194.17033333333336,48.406382978723364,0.135,0.11,0.088,0.111,22.146534653465324,0.488,20.23,5366.836,16.495,16.983,85.876476764679
POL-2016,11.9,10.5,8.6792269,28.711193,62.609581,63.45,16196.1,477.3046666666667,157.11633333333333,982.8145,211.2383333333333,48.406382978723364,0.093,0.107,0.096,0.103,22.146534653465324,0.546,21.217,5805.48,17.667929487179503,20.15874919614149,85.876476764679
POL-2017,11.3,10.6,7.8886991,29.919453,62.191849,65.25,16422.2,501.01933333333335,164.40666666666667,1034.6475,222.079,48.406382978723364,0.068,0.1,0.112,0.096,22.146534653465324,0.534,20.8,5972.922,16.714,17.248,85.876476764679
POL-2018,11.3,10.7,7.5521989,30.919592,61.52821,66.675,16484.05,527.3866666666667,150.633,1056.495,210.27633333333333,48.406382978723364,0.074,0.097,0.128,0.098,22.146534653465324,2.708838156484459,20.601,7150.795484848483,17.667929487179503,20.15874919614149,85.876476764679
POL-2019,11.6,11.0,7.3676858,32.014767,60.61755,67.525,16460.53,559.5713333333333,156.62733333333333,1119.3970000000002,220.02633333333333,56.6,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,17.1,2.708838156484459,21.336,7150.795484848483,17.667929487179503,20.15874919614149,85.876476764679
PRT-1990,9.7,14.4,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,4658.0,159.24566666666666,151.14027704402497,317.982,86.07600000000001,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,0.845,12.225,2742.453,17.667929487179503,20.15874919614149,87.07542608874712
PRT-1991,10.5,14.0,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,4568.0,173.89,151.14027704402497,370.102,106.17833333333334,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,0.893,13.104,3076.634,17.667929487179503,20.15874919614149,87.07542608874712
PRT-1992,9.6,13.6,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,4498.1,175.287,151.14027704402497,398.4935,123.70866666666666,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,0.904,13.758,3266.745,17.667929487179503,20.15874919614149,87.07542608874712
PRT-1993,8.5,13.4,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,4418.2,192.62766666666667,151.14027704402497,415.2225,117.52066666666668,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,1.061,15.12,3512.867,17.667929487179503,20.15874919614149,87.07542608874712
PRT-1994,8.2,13.3,80.88382,10.669723,8.446456,66.36212595933918,4408.9,200.638,151.14027704402497,434.554,122.398,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,1.164,15.238,3565.891,17.667929487179503,20.15874919614149,87.07542608874712
PRT-1995,8.6,12.8,79.913086,11.021688,9.0652218,66.36212595933918,4381.6,228.8753333333333,151.14027704402497,508.4665,143.409,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,1.114,16.019,3898.024,17.667929487179503,20.15874919614149,87.07542608874712
PRT-1996,7.0,12.1,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,4409.1,254.9573333333333,151.14027704402497,546.6845,142.80499999999998,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,19.5,1.134,16.597,4164.627,17.667929487179503,20.15874919614149,87.07542608874712
PRT-1997,6.5,11.8,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,4491.0,268.75466666666665,151.14027704402497,575.8915,148.48533333333333,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,1.145,16.443,4288.385,17.667929487179503,20.15874919614149,87.07542608874712
PRT-1998,5.7,11.7,82.148552,8.3049736,9.5464764,66.825,4847.875,286.46599999999995,151.14027704402497,600.802,147.39566666666667,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,1.351,16.836,4578.676,17.667929487179503,20.15874919614149,87.07542608874712
PRT-1999,5.5,13.2,81.158997,8.6823721,10.158633,67.525,4924.8,316.3856666666666,151.14027704402497,663.6905,159.38566666666668,49.6,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,20.6,1.407,17.243,4845.279,17.667929487179503,20.15874919614149,87.07542608874712
PRT-2000,5.2,12.8,80.625755,8.8429394,10.531308,68.375,5039.975,407.39433333333335,150.13533333333334,825.7685,176.45133333333334,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,1.6,18.478,5352.581,17.667929487179503,20.15874919614149,87.07542608874712
PRT-2001,7.4,12.6,79.761848,9.2361002,11.002051,69.0,5127.775,425.591,152.19333333333333,859.2135,180.55133333333333,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,1.702,18.957,5558.801,17.667929487179503,20.15874919614149,87.07542608874712
PRT-2002,11.7,12.5,79.307739,9.4179335,11.274323,68.775,5143.0,467.731,150.506,923.952,181.5703333333333,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,1.801,20.294,5963.927,17.667929487179503,20.15874919614149,87.07542608874712
PRT-2003,11.1,12.2,77.178673,10.958982,11.862341,68.0,5092.5,478.308,160.39333333333337,965.547,198.72333333333333,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,1.813,21.339,6189.548,19.341,20.957,87.07542608874712
PRT-2007,9.3,11.5,72.544418,13.692096,13.763488,67.6,5091.25,504.0683333333333,208.09,1154.8535,299.1673333333334,48.406382978723364,0.171,0.112,0.143,0.128,22.146534653465324,1.927,21.73,6681.627,19.674,21.375,87.07542608874712
PRT-2008,9.4,11.5,71.75206,14.300379,13.947564,68.025,5115.95,533.2456666666666,225.017,1228.809,319.2933333333333,48.406382978723364,0.153,0.1,0.115,0.113,22.146534653465324,1.971,22.161,6826.173,17.667929487179503,20.15874919614149,87.07542608874712
PRT-2009,9.2,11.5,70.095329,14.66682,15.237852,62.975,4968.425,558.4106666666667,219.52733333333333,1261.7445,316.08566666666667,48.406382978723364,0.144,0.106,0.125,0.116,22.146534653465324,1.94,24.55,7319.046,22.644,24.381,87.07542608874712
PRT-2010,9.7,11.3,68.082458,15.445285,16.472258,62.25,4897.875,596.8963333333332,221.5653333333333,1295.0955,299.834,48.406382978723364,0.155,0.101,0.091,0.109,22.146534653465324,1.859,24.521,7434.031,17.667929487179503,20.15874919614149,81.8280816078186
PRT-2011,8.9,10.9,64.972481,17.25703,17.770487,61.85,4738.175,552.4456666666666,228.0916666666667,1233.611,303.295,48.406382978723364,0.157,0.111,0.083,0.114,22.146534653465324,1.99,24.402,7282.903,21.952,23.758,81.8280816078186
PRT-2012,9.3,9.8,62.369896,18.534111,19.095991,59.325,4545.5,517.3633333333333,249.5363333333333,1215.255,326.14000000000004,48.406382978723364,0.178,0.129,0.082,0.13,22.146534653465324,1.98,24.544,7056.727,17.667929487179503,20.15874919614149,81.8280816078186
PRT-2013,9.1,9.5,59.952484,19.307142,20.740372,58.825,4427.85,543.1456666666667,250.84833333333333,1256.7835,328.043,48.406382978723364,0.183,0.133,0.097,0.135,22.146534653465324,2.001,25.543,7316.18,22.128,23.915,81.8280816078186
