LocationTime,LOCATION,TIME,Healthy_Spend_Val
HRV-2019,HRV,2019,124.472
HRV-2020,HRV,2020,115.24866666666667
HUN-1991,HUN,1991,27.548999999999996
HUN-1992,HUN,1992,32.01666666666667
HUN-1993,HUN,1993,34.24466666666667
HUN-1994,HUN,1994,38.29233333333333
HUN-1995,HUN,1995,45.276
HUN-1996,HUN,1996,51.42600000000001
HUN-1997,HUN,1997,53.50366666666667
HUN-1998,HUN,1998,76.16133333333333
HUN-1999,HUN,1999,89.14366666666666
HUN-2000,HUN,2000,102.56133333333334
HUN-2001,HUN,2001,117.01499999999999
HUN-2002,HUN,2002,129.279
HUN-2003,HUN,2003,144.63266666666667
HUN-2004,HUN,2004,146.98133333333334
HUN-2005,HUN,2005,153.53733333333332
HUN-2006,HUN,2006,157.88
HUN-2007,HUN,2007,159.52466666666666
HUN-2008,HUN,2008,166.002
HUN-2009,HUN,2009,169.03933333333333
HUN-2010,HUN,2010,194.649
HUN-2011,HUN,2011,208.0516666666667
HUN-2012,HUN,2012,215.452
HUN-2013,HUN,2013,214.58633333333333
HUN-2014,HUN,2014,216.29
HUN-2015,HUN,2015,212.019
HUN-2016,HUN,2016,224.15866666666668
HUN-2017,HUN,2017,218.24800000000002
HUN-2018,HUN,2018,224.663
HUN-2019,HUN,2019,229.903
HUN-2020,HUN,2020,239.00766666666667
IND-2000,IND,2000,40.3225
IND-2001,IND,2001,41.409
IND-2002,IND,2002,41.717999999999996
IND-2003,IND,2003,41.7525
IND-2004,IND,2004,41.8235
IND-2005,IND,2005,40.95099999999999
IND-2006,IND,2006,40.7385
IND-2007,IND,2007,40.4615
IND-2008,IND,2008,39.865
IND-2009,IND,2009,38.728500000000004
IND-2010,IND,2010,38.4915
IND-2011,IND,2011,63.126
IND-2012,IND,2012,68.50500000000001
IND-2013,IND,2013,80.98233333333333
IND-2014,IND,2014,80.29866666666666
IND-2015,IND,2015,79.06400000000001
IND-2016,IND,2016,79.745
IND-2017,IND,2017,66.98233333333333
IND-2018,IND,2018,70.98666666666666
IND-2019,IND,2019,73.842
IRL-1990,IRL,1990,76.66733333333333
IRL-1991,IRL,1991,83.02533333333334
IRL-1992,IRL,1992,87.79466666666667
IRL-1993,IRL,1993,92.39666666666666
IRL-1994,IRL,1994,97.39066666666666
IRL-1995,IRL,1995,106.71
