LocationTime,LOCATION,TIME,Work_Hour_Val
HRV-2001,HRV,2001,1922.71542439725
HRV-2002,HRV,2002,1922.93273862254
HRV-2003,HRV,2003,1923.88798735597
HRV-2004,HRV,2004,1925.69003452129
HRV-2005,HRV,2005,1925.55821569454
HRV-2006,HRV,2006,1927.66973729103
HRV-2007,HRV,2007,1929.66419772979
HRV-2008,HRV,2008,1931.18047033449
HRV-2009,HRV,2009,1927.9633641166
HRV-2010,HRV,2010,1941.84365997169
HRV-2011,HRV,2011,1939.24579438553
HRV-2012,HRV,2012,1922.98514527829
HRV-2013,HRV,2013,1908.49243448724
HRV-2014,HRV,2014,1890.60591364246
HRV-2015,HRV,2015,1826.63684520909
HRV-2016,HRV,2016,1834.40560887834
HRV-2017,HRV,2017,1823.59825248009
HRV-2018,HRV,2018,1811.05942329525
HRV-2019,HRV,2019,1837.76552771773
HRV-2020,HRV,2020,1833.62169962836
HUN-1990,HUN,1990,2082.0
HUN-1991,HUN,1991,2048.0
HUN-1992,HUN,1992,2002.0
HUN-1993,HUN,1993,2002.0
HUN-1994,HUN,1994,2142.0
HUN-1995,HUN,1995,1948.0
HUN-1996,HUN,1996,1946.0
HUN-1997,HUN,1997,1954.3
HUN-1998,HUN,1998,1945.1
HUN-1999,HUN,1999,1952.4
HUN-2000,HUN,2000,1932.4
HUN-2001,HUN,2001,1897.8
HUN-2002,HUN,2002,1883.6
HUN-2003,HUN,2003,1856.3
HUN-2004,HUN,2004,1858.6
HUN-2005,HUN,2005,1834.1
HUN-2006,HUN,2006,1813.9
HUN-2007,HUN,2007,1787.8
HUN-2008,HUN,2008,1791.2
HUN-2009,HUN,2009,1758.2
HUN-2010,HUN,2010,1766.4
HUN-2011,HUN,2011,1753.7
HUN-2012,HUN,2012,1738.3
HUN-2013,HUN,2013,1733.6
HUN-2014,HUN,2014,1748.6
HUN-2015,HUN,2015,1745.9
HUN-2016,HUN,2016,1760.2
HUN-2017,HUN,2017,1747.4
HUN-2018,HUN,2018,1729.9
HUN-2019,HUN,2019,1722.2
HUN-2020,HUN,2020,1657.1
IRL-1990,IRL,1990,2081.0
IRL-1991,IRL,1991,2046.0
IRL-1992,IRL,1992,1998.0
IRL-1993,IRL,1993,1971.0
IRL-1994,IRL,1994,1971.0
IRL-1995,IRL,1995,1963.0
IRL-1996,IRL,1996,1954.0
IRL-1997,IRL,1997,1954.0
IRL-1998,IRL,1998,1953.0
IRL-1999,IRL,1999,1942.0
IRL-2000,IRL,2000,1933.0
IRL-2001,IRL,2001,1924.0
IRL-2002,IRL,2002,1904.0
IRL-2003,IRL,2003,1887.0
IRL-2004,IRL,2004,1875.0
IRL-2005,IRL,2005,1883.0
IRL-2006,IRL,2006,1879.0
IRL-2007,IRL,2007,1865.0
IRL-2008,IRL,2008,1844.0
IRL-2009,IRL,2009,1812.0
IRL-2010,IRL,2010,1721.0
IRL-2011,IRL,2011,1737.0
IRL-2012,IRL,2012,1738.0
IRL-2013,IRL,2013,1743.0
IRL-2014,IRL,2014,1757.0
IRL-2015,IRL,2015,1771.0
IRL-2016,IRL,2016,1763.0
IRL-2017,IRL,2017,1775.0
IRL-2018,IRL,2018,1782.0
IRL-2019,IRL,2019,1771.0
IRL-2020,IRL,2020,1746.0
ISL-1990,ISL,1990,1665.0
ISL-1991,ISL,1991,1668.0
ISL-1992,ISL,1992,1668.0
ISL-1993,ISL,1993,1683.0
ISL-1994,ISL,1994,1655.0
ISL-1995,ISL,1995,1641.0
ISL-1996,ISL,1996,1659.0
ISL-1997,ISL,1997,1684.0
ISL-1998,ISL,1998,1665.0
ISL-1999,ISL,1999,1645.0
ISL-2000,ISL,2000,1696.0
ISL-2001,ISL,2001,1707.0
ISL-2002,ISL,2002,1672.0
ISL-2003,ISL,2003,1639.0
ISL-2004,ISL,2004,1645.0
ISL-2005,ISL,2005,1637.0
ISL-2006,ISL,2006,1627.0
ISL-2007,ISL,2007,1605.0
ISL-2008,ISL,2008,1625.2035694367
ISL-2009,ISL,2009,1536.38517618469
ISL-2010,ISL,2010,1527.85230769231
ISL-2011,ISL,2011,1537.6810712112
ISL-2012,ISL,2012,1523.06451612903
ISL-2013,ISL,2013,1524.13309982487
ISL-2014,ISL,2014,1513.4358974359
ISL-2015,ISL,2015,1511.40166204986
ISL-2016,ISL,2016,1519.99470058294
ISL-2017,ISL,2017,1507.07676664972
ISL-2018,ISL,2018,1496.45607107601
ISL-2019,ISL,2019,1480.14822134387
ISL-2020,ISL,2020,1446.23962655602
ISR-1990,ISR,1990,1904.0
ISR-1991,ISR,1991,1897.3
ISR-1992,ISR,1992,1951.2
ISR-1993,ISR,1993,1953.0
ISR-1994,ISR,1994,1993.1
ISR-1995,ISR,1995,2013.8
ISR-1996,ISR,1996,2031.0
ISR-1997,ISR,1997,2036.3
ISR-1998,ISR,1998,2011.9
ISR-1999,ISR,1999,2021.09
ISR-2000,ISR,2000,2032.9
ISR-2001,ISR,2001,1996.1
ISR-2002,ISR,2002,2014.3
ISR-2003,ISR,2003,1997.5
ISR-2004,ISR,2004,1975.0
ISR-2005,ISR,2005,1966.4
ISR-2006,ISR,2006,1955.0
ISR-2007,ISR,2007,1966.5
ISR-2008,ISR,2008,1963.3
ISR-2009,ISR,2009,1962.5
ISR-2010,ISR,2010,1956.5
ISR-2011,ISR,2011,1947.2
ISR-2012,ISR,2012,1918.8
ISR-2013,ISR,2013,1908.2
ISR-2014,ISR,2014,1894.5
ISR-2015,ISR,2015,1895.4
ISR-2016,ISR,2016,1922.1
ISR-2017,ISR,2017,1918.0
ISR-2018,ISR,2018,1910.1
ISR-2019,ISR,2019,1898.1
ISR-2020,ISR,2020,1782.5
ITA-1995,ITA,1995,1856.2
ITA-1996,ITA,1996,1866.2
ITA-1997,ITA,1997,1859.9
ITA-1998,ITA,1998,1873.1
ITA-1999,ITA,1999,1869.9
ITA-2000,ITA,2000,1850.2
ITA-2001,ITA,2001,1837.6
ITA-2002,ITA,2002,1826.2
ITA-2003,ITA,2003,1815.1
ITA-2004,ITA,2004,1814.6
ITA-2005,ITA,2005,1811.1
ITA-2006,ITA,2006,1811.9
ITA-2007,ITA,2007,1817.7
ITA-2008,ITA,2008,1806.5
ITA-2009,ITA,2009,1775.2
ITA-2010,ITA,2010,1776.8
ITA-2011,ITA,2011,1772.6
ITA-2012,ITA,2012,1733.6
ITA-2013,ITA,2013,1719.1
ITA-2014,ITA,2014,1716.3
ITA-2015,ITA,2015,1717.5
ITA-2016,ITA,2016,1721.7
ITA-2017,ITA,2017,1719.2
ITA-2018,ITA,2018,1719.4
ITA-2019,ITA,2019,1710.2
ITA-2020,ITA,2020,1553.6
JPN-1990,JPN,1990,2031.0
JPN-1991,JPN,1991,1998.0
JPN-1992,JPN,1992,1965.0
JPN-1993,JPN,1993,1905.0
JPN-1994,JPN,1994,1898.0
