LocationTime,LOCATION,INDICATOR,TIME,Soc_Spend_Val
CAN-1994,CAN,SOCEXP,1994,19.196
CAN-1995,CAN,SOCEXP,1995,18.295
CAN-1996,CAN,SOCEXP,1996,17.494
CAN-1997,CAN,SOCEXP,1997,16.885
CAN-1998,CAN,SOCEXP,1998,16.975
CAN-1999,CAN,SOCEXP,1999,15.992
CAN-2000,CAN,SOCEXP,2000,15.709
CAN-2001,CAN,SOCEXP,2001,16.141
CAN-2002,CAN,SOCEXP,2002,16.152
CAN-2003,CAN,SOCEXP,2003,16.233
CAN-2004,CAN,SOCEXP,2004,16.232
CAN-2005,CAN,SOCEXP,2005,16.087
CAN-2006,CAN,SOCEXP,2006,16.347
CAN-2007,CAN,SOCEXP,2007,16.261
CAN-2008,CAN,SOCEXP,2008,16.349
CAN-2009,CAN,SOCEXP,2009,18.08
CAN-2010,CAN,SOCEXP,2010,17.594
CAN-2011,CAN,SOCEXP,2011,17.078
CAN-2012,CAN,SOCEXP,2012,17.219
CAN-2013,CAN,SOCEXP,2013,16.978
CAN-2014,CAN,SOCEXP,2014,16.903
CAN-2015,CAN,SOCEXP,2015,17.931
CAN-2016,CAN,SOCEXP,2016,18.279
CAN-2017,CAN,SOCEXP,2017,18.022
CAN-2018,CAN,SOCEXP,2018,17.985
CAN-1995,CAN,SOCEXP,1995,17.047
CAN-1997,CAN,SOCEXP,1997,15.79
CAN-1999,CAN,SOCEXP,1999,14.987
CAN-2001,CAN,SOCEXP,2001,15.416
CAN-2003,CAN,SOCEXP,2003,15.485
CAN-2005,CAN,SOCEXP,2005,15.407
CAN-2007,CAN,SOCEXP,2007,15.759
CAN-2009,CAN,SOCEXP,2009,17.678
CAN-2011,CAN,SOCEXP,2011,16.719
CAN-2013,CAN,SOCEXP,2013,16.615
CAN-2015,CAN,SOCEXP,2015,17.466
CAN-2017,CAN,SOCEXP,2017,17.51
CAN-1995,CAN,SOCEXP,1995,20.292
CAN-1997,CAN,SOCEXP,1997,19.219
CAN-1999,CAN,SOCEXP,1999,18.585
CAN-2001,CAN,SOCEXP,2001,19.412
CAN-2003,CAN,SOCEXP,2003,19.58
CAN-2005,CAN,SOCEXP,2005,19.596
CAN-2007,CAN,SOCEXP,2007,19.95
CAN-2009,CAN,SOCEXP,2009,21.661
CAN-2011,CAN,SOCEXP,2011,20.823
CAN-2013,CAN,SOCEXP,2013,20.998
CAN-2015,CAN,SOCEXP,2015,22.419
CAN-2017,CAN,SOCEXP,2017,23.123
CAN-1990,CAN,SOCEXP,1990,5679.156
CAN-1991,CAN,SOCEXP,1991,6241.063
CAN-1992,CAN,SOCEXP,1992,6456.219
CAN-1993,CAN,SOCEXP,1993,6563.265
CAN-1994,CAN,SOCEXP,1994,6390.864
CAN-1995,CAN,SOCEXP,1995,6173.405
CAN-1996,CAN,SOCEXP,1996,5976.587
CAN-1997,CAN,SOCEXP,1997,5952.396
CAN-1998,CAN,SOCEXP,1998,6186.466
CAN-1999,CAN,SOCEXP,1999,6079.305
CAN-2000,CAN,SOCEXP,2000,6166.271
CAN-2001,CAN,SOCEXP,2001,6399.034
CAN-2002,CAN,SOCEXP,2002,6508.876
CAN-2003,CAN,SOCEXP,2003,6620.774
CAN-2004,CAN,SOCEXP,2004,6763.097
CAN-2005,CAN,SOCEXP,2005,6841.155
CAN-2006,CAN,SOCEXP,2006,7053.877
CAN-2007,CAN,SOCEXP,2007,7071.795
CAN-2008,CAN,SOCEXP,2008,7033.773
CAN-2009,CAN,SOCEXP,2009,7579.26
CAN-2010,CAN,SOCEXP,2010,7522.871
CAN-2011,CAN,SOCEXP,2011,7430.225
CAN-2012,CAN,SOCEXP,2012,7552.47
CAN-2013,CAN,SOCEXP,2013,7551.404
CAN-2014,CAN,SOCEXP,2014,7618.761
CAN-2015,CAN,SOCEXP,2015,8073.993
CAN-2016,CAN,SOCEXP,2016,8263.794
CAN-2017,CAN,SOCEXP,2017,8277.611
CAN-2018,CAN,SOCEXP,2018,8301.633
CZE-1995,CZE,SOCEXP,1995,0.069
CZE-1996,CZE,SOCEXP,1996,0.087
CZE-1997,CZE,SOCEXP,1997,0.145
CZE-1998,CZE,SOCEXP,1998,0.228
CZE-1999,CZE,SOCEXP,1999,0.277
CZE-2000,CZE,SOCEXP,2000,0.325
CZE-2001,CZE,SOCEXP,2001,0.269
CZE-2002,CZE,SOCEXP,2002,0.298
CZE-2003,CZE,SOCEXP,2003,0.332
CZE-2004,CZE,SOCEXP,2004,0.335
