LocationTime,LOCATION,TIME,employment_val_BUPPSRY_PC_25_64,employment_val_TRY_PC_25_64,employment_val_UPPSRY_NTRY_PC_25_64
HUN-2000,HUN,2000,35.842838,82.432106,72.110062
HUN-2001,HUN,2001,36.625694,82.560402,71.921219
HUN-2002,HUN,2002,36.723515,81.979156,71.690872
HUN-2003,HUN,2003,37.390221,82.744484,71.412323
HUN-2004,HUN,2004,36.89378,82.858444,70.923279
HUN-2005,HUN,2005,38.104095,83.029488,70.447762
HUN-2006,HUN,2006,38.192783,81.811996,70.381294
HUN-2007,HUN,2007,38.498444,80.406219,70.220329
HUN-2008,HUN,2008,38.655712,79.934586,68.663551
HUN-2009,HUN,2009,37.404385,78.757912,66.956322
HUN-2010,HUN,2010,37.621582,78.591927,66.222305
HUN-2011,HUN,2011,37.725071,79.298866,66.312004
HUN-2012,HUN,2012,38.794422,79.716576,67.890533
HUN-2013,HUN,2013,39.442501,80.137756,68.992531
HUN-2014,HUN,2014,45.252956,81.839241,71.78273
HUN-2015,HUN,2015,48.08321,83.020691,73.740097
HUN-2016,HUN,2016,51.73748,84.997375,76.056656
HUN-2017,HUN,2017,55.091339,85.10128,77.582481
HUN-2018,HUN,2018,56.975697,85.793182,78.335846
HUN-2019,HUN,2019,56.987286,85.794998,79.937408
HUN-2020,HUN,2020,55.617611,85.8964,79.292191
IDN-2004,IDN,2004,70.765129,77.068466,68.580849
IDN-2005,IDN,2005,70.546555,82.540245,69.436249
IDN-2006,IDN,2006,69.622757,81.328804,69.588615
IDN-2007,IDN,2007,72.562965,74.25769,66.537804
IDN-2008,IDN,2008,71.975693,76.766548,70.244476
IDN-2009,IDN,2009,73.127312,75.425919,71.039185
IDN-2010,IDN,2010,73.803917,78.069321,72.567726
IDN-2011,IDN,2011,73.930084,82.229584,74.716812
IDN-2012,IDN,2012,74.226013,85.925858,74.965752
